x0000,y0000
866.790702,3756.267982,
873.4738548,3656.423142,
880.1541167,3770.981958,
886.8314985,3452.529468,
893.5060112,3960.161655,
900.1776658,3540.813327,
906.8464733,3563.93529,
913.5124445,4282.818138,
920.1755904,3701.616069,
926.8359221,4191.381285,
933.4934503,3796.205918,
940.1481862,4184.024296,
946.8001407,4048.445514,
953.4493246,3869.7758,
960.0957491,4269.15516,
966.7394249,4417.345923,
973.3803632,4166.157325,
980.0185748,4231.319221,
986.6540707,4504.578783,
993.2868618,4886.091172,
999.9169591,4629.647582,
1006.544374,5117.310801,
1013.169116,5202.441665,
1019.791198,5447.324272,
1026.41063,5208.747655,
1033.027422,5750.011787,
1039.641587,5848.805629,
1046.253134,6105.249218,
1052.862076,6051.648304,
1059.468422,6209.298051,
1066.072184,6142.034159,
1072.673373,6990.1898,
1079.271999,6702.216262,
1085.868074,6424.752706,
1092.461608,7218.256435,
1099.052614,6508.832572,
1105.6411,7504.127977,
1112.227079,7556.677893,
1118.810562,7213.001443,
1125.391558,8188.327881,
1131.970081,7745.85759,
1138.546139,8135.777965,
1145.119745,7792.101516,
1151.690908,7904.558335,
1158.259641,8621.339187,
1164.825954,7813.121482,
1171.389858,8718.031032,
1177.951365,8794.753909,
1184.510484,8648.665143,
1191.067227,8916.669714,
1197.621605,8904.057734,
1204.173628,8844.15083,
1210.723309,9298.182102,
1217.270657,8983.933606,
1223.815684,9453.729853,
1230.3584,9270.856146,
1236.898818,9228.816214,
1243.436946,8469.995429,
1249.972798,8536.208323,
1256.506382,7428.456098,
1263.037711,7842.549435,
1269.566796,7257.143373,
1276.093647,8451.07746,
1282.618275,8792.651912,
1289.140692,8972.372624,
1295.660907,9638.705557,
1302.178933,9552.523695,
1308.69478,10129.52177,
1315.208459,10408.03632,
1321.719981,16633.09935,
1328.229357,9891.996151,
1334.736598,9690.204474,
1341.241715,9113.206399,
1347.744719,8623.441184,
1354.24562,7870.926389,
1360.74443,7082.677652,
1367.24116,6867.222997,
1373.735821,6000.149387,
1380.228423,5532.455136,
1386.718978,4650.667549,
1393.207497,4383.713976,
1399.69399,3926.529709,
1406.178468,4125.168391,
1412.660943,4127.270387,
1419.141425,3849.806832,
1425.619926,4632.800577,
1432.096456,5447.324272,
1438.571026,5293.878518,
1445.043647,6191.43108,
1451.51433,6651.768343,
1457.983087,8190.429877,
1464.449927,8581.401251,
1470.914863,9075.370459,
1477.377904,9821.579264,
1483.839063,10734.8968,
1490.298349,11139.53115,
1496.755774,11391.77075,
1503.211349,11998.19678,
1509.665085,12489.01299,
1516.116992,12739.15059,
1522.567082,13382.36156,
1529.015366,13386.56555,
1535.461854,13756.51696,
1541.906558,13249.93577,
1548.349488,12844.25042,
1554.790655,13378.15757,
1561.230071,13118.56098,
1567.667747,13427.55449,
1574.103692,12905.20832,
1580.537919,13038.68511,
1586.970439,13649.31513,
1593.401261,13366.59658,
1599.830397,13014.51215,
1606.257859,13140.63195,
1612.683656,13596.76522,
