# Integration time = 100 ms
# Spectrometer: USB2000
# Time: 2023-07-18 09:59:13.170444

# x (wavelengths), y (counts)
3.392183031000000142E+02 , 0.000000000000000000E+00
3.395997891081871671E+02 , 1.980000000000000000E+02
3.399812420910970445E+02 , 1.990000000000000000E+02
3.403626620312525688E+02 , 2.070000000000000000E+02
3.407440489111763213E+02 , 1.990000000000000000E+02
3.411254027133912814E+02 , 2.060000000000000000E+02
3.415067234204201441E+02 , 2.020000000000000000E+02
3.418880110147855476E+02 , 2.040000000000000000E+02
3.422692654790105848E+02 , 2.090000000000000000E+02
3.426504867956177804E+02 , 2.100000000000000000E+02
3.430316749471300000E+02 , 2.050000000000000000E+02
3.434128299160700521E+02 , 2.070000000000000000E+02
3.437939516849606321E+02 , 2.150000000000000000E+02
3.441750402363246053E+02 , 2.100000000000000000E+02
3.445560955526846669E+02 , 2.070000000000000000E+02
3.449371176165637394E+02 , 2.060000000000000000E+02
3.453181064104845177E+02 , 2.110000000000000000E+02
3.456990619169696970E+02 , 2.040000000000000000E+02
3.460799841185421428E+02 , 2.100000000000000000E+02
3.464608729977246639E+02 , 2.070000000000000000E+02
3.468417285370400123E+02 , 2.090000000000000000E+02
3.472225507190109397E+02 , 2.070000000000000000E+02
3.476033395261602550E+02 , 2.120000000000000000E+02
3.479840949410107100E+02 , 2.080000000000000000E+02
3.483648169460851705E+02 , 2.110000000000000000E+02
3.487455055239062176E+02 , 2.090000000000000000E+02
3.491261606569968876E+02 , 2.090000000000000000E+02
3.495067823278798187E+02 , 2.120000000000000000E+02
3.498873705190777628E+02 , 2.100000000000000000E+02
3.502679252131136423E+02 , 2.100000000000000000E+02
3.506484463925099817E+02 , 2.040000000000000000E+02
3.510289340397898741E+02 , 2.070000000000000000E+02
3.514093881374757871E+02 , 2.120000000000000000E+02
3.517898086680908705E+02 , 2.090000000000000000E+02
3.521701956141575351E+02 , 2.050000000000000000E+02
3.525505489581987035E+02 , 2.030000000000000000E+02
3.529308686827372981E+02 , 2.090000000000000000E+02
3.533111547702958433E+02 , 2.090000000000000000E+02
3.536914072033973753E+02 , 2.150000000000000000E+02
3.540716259645645323E+02 , 2.080000000000000000E+02
3.544518110363200094E+02 , 2.160000000000000000E+02
3.548319624011867859E+02 , 2.100000000000000000E+02
3.552120800416874431E+02 , 2.020000000000000000E+02
3.555921639403449035E+02 , 2.140000000000000000E+02
3.559722140796819758E+02 , 2.090000000000000000E+02
3.563522304422212414E+02 , 2.140000000000000000E+02
3.567322130104856797E+02 , 2.130000000000000000E+02
3.571121617669979855E+02 , 2.050000000000000000E+02
3.574920766942809678E+02 , 2.120000000000000000E+02
3.578719577748573784E+02 , 2.090000000000000000E+02
3.582518049912500260E+02 , 2.110000000000000000E+02
3.586316183259816626E+02 , 2.100000000000000000E+02
3.590113977615750400E+02 , 2.080000000000000000E+02
3.593911432805530239E+02 , 2.120000000000000000E+02
3.597708548654383094E+02 , 2.080000000000000000E+02
3.601505324987537051E+02 , 2.100000000000000000E+02
3.605301761630221336E+02 , 2.090000000000000000E+02
3.609097858407661192E+02 , 2.140000000000000000E+02
3.612893615145085846E+02 , 2.060000000000000000E+02
3.616689031667722816E+02 , 2.090000000000000000E+02
3.620484107800800189E+02 , 2.110000000000000000E+02
3.624278843369545484E+02 , 2.130000000000000000E+02
3.628073238199186790E+02 , 2.050000000000000000E+02
3.631867292114951056E+02 , 2.040000000000000000E+02
3.635661004942067507E+02 , 2.110000000000000000E+02
3.639454376505762525E+02 , 2.060000000000000000E+02
3.643247406631264766E+02 , 2.110000000000000000E+02
3.647040095143802318E+02 , 2.070000000000000000E+02
3.650832441868601563E+02 , 2.100000000000000000E+02
3.654624446630892294E+02 , 2.090000000000000000E+02
3.658416109255900324E+02 , 2.120000000000000000E+02
3.662207429568854309E+02 , 2.070000000000000000E+02
3.665998407394982337E+02 , 2.150000000000000000E+02
3.669789042559512495E+02 , 2.090000000000000000E+02
3.673579334887671735E+02 , 2.050000000000000000E+02
3.677369284204687006E+02 , 2.070000000000000000E+02
3.681158890335788669E+02 , 2.130000000000000000E+02
3.684948153106203677E+02 , 2.110000000000000000E+02
3.688737072341157841E+02 , 2.100000000000000000E+02
3.692525647865880956E+02 , 2.110000000000000000E+02
3.696313879505599971E+02 , 2.150000000000000000E+02
3.700101767085542974E+02 , 2.080000000000000000E+02
3.703889310430938622E+02 , 2.120000000000000000E+02
3.707676509367013296E+02 , 2.130000000000000000E+02
3.711463363718995083E+02 , 2.090000000000000000E+02
3.715249873312112641E+02 , 2.120000000000000000E+02
3.719036037971592918E+02 , 2.090000000000000000E+02
3.722821857522664004E+02 , 2.120000000000000000E+02
3.726607331790553985E+02 , 2.090000000000000000E+02
3.730392460600489812E+02 , 2.110000000000000000E+02
3.734177243777700710E+02 , 2.120000000000000000E+02
3.737961681147412492E+02 , 2.130000000000000000E+02
3.741745772534854950E+02 , 2.090000000000000000E+02
3.745529517765253900E+02 , 2.110000000000000000E+02
3.749312916663839133E+02 , 2.170000000000000000E+02
3.753095969055837600E+02 , 2.090000000000000000E+02
3.756878674766476820E+02 , 2.100000000000000000E+02
3.760661033620984881E+02 , 2.090000000000000000E+02
3.764443045444589302E+02 , 2.100000000000000000E+02
3.768224710062518739E+02 , 2.110000000000000000E+02
3.772006027300000710E+02 , 2.150000000000000000E+02
3.775786996982261599E+02 , 2.120000000000000000E+02
3.779567618934530628E+02 , 2.140000000000000000E+02
3.783347892982034750E+02 , 2.100000000000000000E+02
3.787127818950003757E+02 , 2.070000000000000000E+02
3.790907396663662894E+02 , 2.190000000000000000E+02
3.794686625948240817E+02 , 2.060000000000000000E+02
3.798465506628966182E+02 , 2.150000000000000000E+02
3.802244038531065939E+02 , 2.140000000000000000E+02
3.806022221479768177E+02 , 2.070000000000000000E+02
3.809800055300300414E+02 , 2.090000000000000000E+02
3.813577539817890170E+02 , 2.100000000000000000E+02
3.817354674857766668E+02 , 2.090000000000000000E+02
3.821131460245155722E+02 , 2.130000000000000000E+02
3.824907895805287126E+02 , 2.090000000000000000E+02
3.828683981363387829E+02 , 2.180000000000000000E+02
3.832459716744684783E+02 , 2.120000000000000000E+02
3.836235101774407212E+02 , 2.150000000000000000E+02
3.840010136277781498E+02 , 2.210000000000000000E+02
3.843784820080036866E+02 , 2.110000000000000000E+02
3.847559153006400834E+02 , 2.070000000000000000E+02
3.851333134882099216E+02 , 2.150000000000000000E+02
3.855106765532362374E+02 , 2.170000000000000000E+02
3.858880044782417258E+02 , 2.160000000000000000E+02
3.862652972457491387E+02 , 2.120000000000000000E+02
3.866425548382812849E+02 , 2.260000000000000000E+02
3.870197772383608594E+02 , 2.140000000000000000E+02
3.873969644285108416E+02 , 2.060000000000000000E+02
3.877741163912537559E+02 , 2.160000000000000000E+02
3.881512331091125816E+02 , 2.110000000000000000E+02
3.885283145646100138E+02 , 2.150000000000000000E+02
3.889053607402688044E+02 , 2.070000000000000000E+02
3.892823716186118759E+02 , 2.130000000000000000E+02
3.896593471821618664E+02 , 2.130000000000000000E+02
3.900362874134415279E+02 , 2.110000000000000000E+02
3.904131922949737827E+02 , 2.130000000000000000E+02
3.907900618092812692E+02 , 2.180000000000000000E+02
3.911668959388869098E+02 , 2.090000000000000000E+02
3.915436946663133426E+02 , 2.160000000000000000E+02
3.919204579740834902E+02 , 2.090000000000000000E+02
3.922971858447200475E+02 , 2.100000000000000000E+02
3.926738782607457097E+02 , 2.120000000000000000E+02
3.930505352046834560E+02 , 2.150000000000000000E+02
3.934271566590559246E+02 , 2.160000000000000000E+02
3.938037426063859243E+02 , 2.080000000000000000E+02
3.941802930291962639E+02 , 2.100000000000000000E+02
3.945568079100096384E+02 , 2.130000000000000000E+02
3.949332872313489702E+02 , 2.140000000000000000E+02
3.953097309757370112E+02 , 2.070000000000000000E+02
3.956861391256963429E+02 , 2.150000000000000000E+02
3.960625116637500014E+02 , 2.140000000000000000E+02
3.964388485724206248E+02 , 2.070000000000000000E+02
3.968151498342310219E+02 , 2.140000000000000000E+02
3.971914154317040015E+02 , 2.130000000000000000E+02
3.975676453473623155E+02 , 2.170000000000000000E+02
3.979438395637287726E+02 , 2.140000000000000000E+02
3.983199980633261248E+02 , 2.090000000000000000E+02
3.986961208286771239E+02 , 2.140000000000000000E+02
3.990722078423045787E+02 , 2.100000000000000000E+02
3.994482590867312410E+02 , 2.140000000000000000E+02
3.998242745444800335E+02 , 2.100000000000000000E+02
4.002002541980735373E+02 , 2.100000000000000000E+02
4.005761980300346750E+02 , 2.130000000000000000E+02
4.009521060228861415E+02 , 2.080000000000000000E+02
4.013279781591506890E+02 , 2.110000000000000000E+02
4.017038144213512396E+02 , 2.130000000000000000E+02
4.020796147920105454E+02 , 2.110000000000000000E+02
4.024553792536511878E+02 , 2.160000000000000000E+02
4.028311077887962028E+02 , 2.110000000000000000E+02
4.032068003799681719E+02 , 2.070000000000000000E+02
4.035824570096900175E+02 , 2.170000000000000000E+02
4.039580776604844345E+02 , 2.140000000000000000E+02
4.043336623148742319E+02 , 2.130000000000000000E+02
4.047092109553822183E+02 , 2.190000000000000000E+02
4.050847235645311457E+02 , 2.110000000000000000E+02
4.054602001248437659E+02 , 2.130000000000000000E+02
4.058356406188429446E+02 , 2.110000000000000000E+02
4.062110450290512631E+02 , 2.150000000000000000E+02
4.065864133379918144E+02 , 2.110000000000000000E+02
4.069617455281870662E+02 , 2.130000000000000000E+02
4.073370415821600545E+02 , 2.100000000000000000E+02
4.077123014824333040E+02 , 2.140000000000000000E+02
4.080875252115298508E+02 , 2.140000000000000000E+02
4.084627127519723331E+02 , 2.170000000000000000E+02
4.088378640862835027E+02 , 2.120000000000000000E+02
4.092129791969862822E+02 , 2.160000000000000000E+02
4.095880580666033097E+02 , 2.090000000000000000E+02
4.099631006776573940E+02 , 2.080000000000000000E+02
4.103381070126714008E+02 , 2.100000000000000000E+02
4.107130770541679681E+02 , 2.120000000000000000E+02
4.110880107846699616E+02 , 2.160000000000000000E+02
4.114629081867002469E+02 , 2.150000000000000000E+02
4.118377692427814623E+02 , 2.140000000000000000E+02
4.122125939354364164E+02 , 2.140000000000000000E+02
4.125873822471878611E+02 , 2.120000000000000000E+02
4.129621341605587759E+02 , 2.110000000000000000E+02
4.133368496580717419E+02 , 2.090000000000000000E+02
4.137115287222494544E+02 , 2.160000000000000000E+02
4.140861713356149494E+02 , 2.160000000000000000E+02
4.144607774806909219E+02 , 2.130000000000000000E+02
4.148353471400000103E+02 , 2.200000000000000000E+02
4.152098802960651938E+02 , 2.110000000000000000E+02
4.155843769314090537E+02 , 2.170000000000000000E+02
4.159588370285545125E+02 , 2.090000000000000000E+02
4.163332605700243221E+02 , 2.110000000000000000E+02
4.167076475383412344E+02 , 2.120000000000000000E+02
4.170819979160281150E+02 , 2.160000000000000000E+02
4.174563116856075453E+02 , 2.170000000000000000E+02
4.178305888296025614E+02 , 2.100000000000000000E+02
4.182048293305358015E+02 , 2.110000000000000000E+02
4.185790331709300176E+02 , 2.150000000000000000E+02
4.189532003333080752E+02 , 2.170000000000000000E+02
4.193273308001926694E+02 , 2.170000000000000000E+02
4.197014245541066089E+02 , 2.090000000000000000E+02
4.200754815775727025E+02 , 2.130000000000000000E+02
4.204495018531137589E+02 , 2.080000000000000000E+02
4.208234853632524732E+02 , 2.150000000000000000E+02
4.211974320905116542E+02 , 2.100000000000000000E+02
4.215713420174141675E+02 , 2.180000000000000000E+02
4.219452151264827080E+02 , 2.140000000000000000E+02
4.223190514002400278E+02 , 2.090000000000000000E+02
4.226928508212089923E+02 , 2.120000000000000000E+02
4.230666133719122968E+02 , 2.110000000000000000E+02
4.234403390348726930E+02 , 2.090000000000000000E+02
4.238140277926131034E+02 , 2.110000000000000000E+02
4.241876796276562800E+02 , 2.160000000000000000E+02
4.245612945225249177E+02 , 2.160000000000000000E+02
4.249348724597417686E+02 , 2.130000000000000000E+02
4.253084134218297550E+02 , 2.120000000000000000E+02
4.256819173913115719E+02 , 2.150000000000000000E+02
4.260553843507100282E+02 , 2.100000000000000000E+02
4.264288142825478758E+02 , 2.140000000000000000E+02
4.268022071693478665E+02 , 2.180000000000000000E+02
4.271755629936328091E+02 , 2.090000000000000000E+02
4.275488817379255693E+02 , 2.120000000000000000E+02
4.279221633847487283E+02 , 2.070000000000000000E+02
4.282954079166252654E+02 , 2.180000000000000000E+02
4.286686153160778758E+02 , 2.090000000000000000E+02
4.290417855656293682E+02 , 2.150000000000000000E+02
4.294149186478024944E+02 , 2.160000000000000000E+02
4.297880145451200065E+02 , 2.110000000000000000E+02
4.301610732401047699E+02 , 2.140000000000000000E+02
4.305340947152794797E+02 , 2.110000000000000000E+02
4.309070789531669448E+02 , 2.170000000000000000E+02
4.312800259362899737E+02 , 2.150000000000000000E+02
4.316529356471712049E+02 , 2.160000000000000000E+02
4.320258080683336743E+02 , 2.140000000000000000E+02
4.323986431822999634E+02 , 2.160000000000000000E+02
4.327714409715929378E+02 , 2.170000000000000000E+02
4.331442014187354062E+02 , 2.160000000000000000E+02
4.335169245062500067E+02 , 2.160000000000000000E+02
4.338896102166596052E+02 , 2.170000000000000000E+02
4.342622585324870670E+02 , 2.270000000000000000E+02
4.346348694362550305E+02 , 2.280000000000000000E+02
4.350074429104863611E+02 , 2.350000000000000000E+02
4.353799789377038110E+02 , 2.470000000000000000E+02
4.357524775004300750E+02 , 2.670000000000000000E+02
4.361249385811880188E+02 , 2.630000000000000000E+02
4.364973621625005649E+02 , 2.330000000000000000E+02
4.368697482268902945E+02 , 2.210000000000000000E+02
4.372420967568800165E+02 , 2.130000000000000000E+02
4.376144077349925396E+02 , 2.090000000000000000E+02
4.379866811437506726E+02 , 2.180000000000000000E+02
4.383589169656771105E+02 , 2.160000000000000000E+02
4.387311151832947189E+02 , 2.170000000000000000E+02
4.391032757791262497E+02 , 2.150000000000000000E+02
4.394753987356945117E+02 , 2.120000000000000000E+02
4.398474840355222000E+02 , 2.140000000000000000E+02
4.402195316611321800E+02 , 2.130000000000000000E+02
4.405915415950471470E+02 , 2.160000000000000000E+02
4.409635138197899664E+02 , 2.160000000000000000E+02
4.413354483178834471E+02 , 2.130000000000000000E+02
4.417073450718502841E+02 , 2.130000000000000000E+02
4.420792040642132292E+02 , 2.160000000000000000E+02
4.424510252774951482E+02 , 2.110000000000000000E+02
4.428228086942187929E+02 , 2.180000000000000000E+02
4.431945542969068583E+02 , 2.180000000000000000E+02
4.435662620680823238E+02 , 2.170000000000000000E+02
4.439379319902677707E+02 , 2.130000000000000000E+02
4.443095640459860647E+02 , 2.170000000000000000E+02
4.446811582177600144E+02 , 2.150000000000000000E+02
4.450527144881123718E+02 , 2.150000000000000000E+02
4.454242328395658888E+02 , 2.190000000000000000E+02
4.457957132546433172E+02 , 2.150000000000000000E+02
4.461671557158675228E+02 , 2.140000000000000000E+02
4.465385602057612573E+02 , 2.170000000000000000E+02
4.469099267068472727E+02 , 2.160000000000000000E+02
4.472812552016484346E+02 , 2.150000000000000000E+02
4.476525456726873813E+02 , 2.160000000000000000E+02
4.480237981024869782E+02 , 2.130000000000000000E+02
4.483950124735699774E+02 , 2.150000000000000000E+02
4.487661887684591875E+02 , 2.140000000000000000E+02
4.491373269696774742E+02 , 2.170000000000000000E+02
4.495084270597473619E+02 , 2.150000000000000000E+02
4.498794890211919437E+02 , 2.150000000000000000E+02
4.502505128365337441E+02 , 2.150000000000000000E+02
4.506214984882956855E+02 , 2.150000000000000000E+02
4.509924459590005199E+02 , 2.120000000000000000E+02
4.513633552311709991E+02 , 2.170000000000000000E+02
4.517342262873298750E+02 , 2.190000000000000000E+02
4.521050591100000702E+02 , 2.210000000000000000E+02
4.524758536817041090E+02 , 2.150000000000000000E+02
4.528466099849650277E+02 , 2.120000000000000000E+02
4.532173280023054645E+02 , 2.110000000000000000E+02
4.535880077162482849E+02 , 2.130000000000000000E+02
4.539586491093162977E+02 , 2.160000000000000000E+02
4.543292521640320842E+02 , 2.110000000000000000E+02
4.546998168629186239E+02 , 2.180000000000000000E+02
4.550703431884986117E+02 , 2.180000000000000000E+02
4.554408311232947426E+02 , 2.090000000000000000E+02
4.558112806498299960E+02 , 2.160000000000000000E+02
4.561816917506270670E+02 , 2.140000000000000000E+02
4.565520644082086505E+02 , 2.150000000000000000E+02
4.569223986050975554E+02 , 2.180000000000000000E+02
4.572926943238167041E+02 , 2.150000000000000000E+02
4.576629515468887917E+02 , 2.170000000000000000E+02
4.580331702568364562E+02 , 2.170000000000000000E+02
4.584033504361827340E+02 , 2.100000000000000000E+02
4.587734920674502064E+02 , 2.120000000000000000E+02
4.591435951331616820E+02 , 2.100000000000000000E+02
4.595136596158400266E+02 , 2.130000000000000000E+02
4.598836854980078783E+02 , 2.140000000000000000E+02
4.602536727621882164E+02 , 2.130000000000000000E+02
4.606236213909037360E+02 , 2.160000000000000000E+02
4.609935313666770753E+02 , 2.140000000000000000E+02
4.613634026720312704E+02 , 2.200000000000000000E+02
4.617332352894888459E+02 , 2.150000000000000000E+02
4.621030292015728378E+02 , 2.080000000000000000E+02
4.624727843908057707E+02 , 2.130000000000000000E+02
4.628425008397105671E+02 , 2.140000000000000000E+02
4.632121785308100357E+02 , 2.150000000000000000E+02
4.635818174466268715E+02 , 2.120000000000000000E+02
4.639514175696838265E+02 , 2.190000000000000000E+02
4.643209788825037663E+02 , 2.120000000000000000E+02
4.646905013676095564E+02 , 2.180000000000000000E+02
4.650599850075237782E+02 , 2.130000000000000000E+02
4.654294297847692405E+02 , 2.130000000000000000E+02
4.657988356818689226E+02 , 2.220000000000000000E+02
4.661682026813454058E+02 , 2.160000000000000000E+02
4.665375307657214421E+02 , 2.140000000000000000E+02
4.669068199175200107E+02 , 2.080000000000000000E+02
4.672760701192638066E+02 , 2.150000000000000000E+02
4.676452813534754114E+02 , 2.140000000000000000E+02
4.680144536026778610E+02 , 2.150000000000000000E+02
4.683835868493940211E+02 , 2.110000000000000000E+02
4.687526810761463025E+02 , 2.050000000000000000E+02
4.691217362654576846E+02 , 2.100000000000000000E+02
4.694907523998509760E+02 , 2.180000000000000000E+02
4.698597294618489855E+02 , 2.240000000000000000E+02
4.702286674339743513E+02 , 2.120000000000000000E+02
4.705975662987499959E+02 , 2.120000000000000000E+02
4.709664260386986712E+02 , 2.150000000000000000E+02
4.713352466363430722E+02 , 2.200000000000000000E+02
4.717040280742059508E+02 , 2.170000000000000000E+02
4.720727703348104001E+02 , 2.150000000000000000E+02
4.724414734006787171E+02 , 2.130000000000000000E+02
4.728101372543340517E+02 , 2.110000000000000000E+02
4.731787618782990421E+02 , 2.160000000000000000E+02
4.735473472550966108E+02 , 2.150000000000000000E+02
4.739158933672492253E+02 , 2.200000000000000000E+02
4.742844001972800356E+02 , 2.140000000000000000E+02
4.746528677277115662E+02 , 2.180000000000000000E+02
4.750212959410666258E+02 , 2.120000000000000000E+02
4.753896848198681369E+02 , 2.130000000000000000E+02
4.757580343466387376E+02 , 2.120000000000000000E+02
4.761263445039012936E+02 , 2.170000000000000000E+02
4.764946152741784431E+02 , 2.180000000000000000E+02
4.768628466399931654E+02 , 2.150000000000000000E+02
4.772310385838681555E+02 , 2.150000000000000000E+02
4.775991910883261653E+02 , 2.180000000000000000E+02
4.779673041358900036E+02 , 2.150000000000000000E+02
4.783353777090824224E+02 , 2.100000000000000000E+02
4.787034117904262303E+02 , 2.130000000000000000E+02
4.790714063624442360E+02 , 2.140000000000000000E+02
4.794393614076591916E+02 , 2.230000000000000000E+02
4.798072769085937352E+02 , 2.180000000000000000E+02
4.801751528477708462E+02 , 2.130000000000000000E+02
4.805429892077133900E+02 , 2.160000000000000000E+02
4.809107859709437776E+02 , 2.180000000000000000E+02
4.812785431199850450E+02 , 2.150000000000000000E+02
4.816462606373600011E+02 , 2.190000000000000000E+02
4.820139385055913408E+02 , 2.230000000000000000E+02
4.823815767072018161E+02 , 2.180000000000000000E+02
4.827491752247142927E+02 , 2.220000000000000000E+02
4.831167340406515791E+02 , 2.200000000000000000E+02
4.834842531375362569E+02 , 2.240000000000000000E+02
4.838517324978912484E+02 , 2.290000000000000000E+02
