x0000,y0000
866.790702,6595.014433,
873.4738548,6628.64638,
880.1541167,6828.33606,
886.8314985,6569.790474,
893.5060112,7189.87948,
900.1776658,6888.242964,
906.8464733,7004.903777,
913.5124445,7911.915324,
920.1755904,7470.496031,
926.8359221,8213.55184,
933.4934503,8031.729132,
940.1481862,8754.815973,
946.8001407,8873.578783,
953.4493246,9060.656483,
960.0957491,9859.415203,
966.7394249,10313.44648,
973.3803632,10269.30455,
980.0185748,10812.67068,
986.6540707,11438.01467,
993.2868618,12307.19028,
999.9169591,12440.66707,
1006.544374,13394.97354,
1013.169116,14021.36854,
1019.791198,14788.59731,
1026.41063,14974.62401,
1033.027422,16196.93505,
1039.641587,16866.42098,
1046.253134,17812.31946,
1052.862076,18340.97161,
1059.468422,19155.49531,
1066.072184,19669.43349,
1072.673373,21293.22588,
1079.271999,21437.21265,
1085.868074,21819.77604,
1092.461608,23211.29781,
1099.052614,22992.69016,
1105.6411,24706.86841,
1112.227079,25502.47414,
1118.810562,25598.11499,
1125.391558,27460.484,
1131.970081,27602.36878,
1138.546139,28741.65095,
1145.119745,29052.74645,
1151.690908,29936.63604,
1158.259641,31196.78302,
1164.825954,30795.30166,
1171.389858,32424.34905,
1177.951365,33204.1898,
1184.510484,33353.43156,
1191.067227,34310.89103,
1197.621605,34844.79817,
1204.173628,35444.91821,
1210.723309,36355.08275,
1217.270657,36682.99423,
1223.815684,37728.73755,
1230.3584,38467.58937,
1236.898818,38883.7847,
1243.436946,38932.13062,
1249.972798,40231.16454,
1256.506382,40500.22011,
1263.037711,42151.33847,
1269.566796,41818.172,
1276.093647,43453.52538,
1282.618275,43987.43252,
1289.140692,44407.83185,
1295.660907,45438.8612,
1302.178933,45677.43782,
1308.69478,46604.41833,
1315.208459,47326.45417,
1321.719981,31123.21313,
1328.229357,47979.12413,
1334.736598,48734.79192,
1341.241715,48937.63459,
1347.744719,49723.78133,
1354.24562,50034.87683,
1360.74443,50467.88814,
1367.24116,51602.96632,
1373.735821,51673.38321,
1380.228423,52315.54318,
1386.718978,52066.45658,
1393.207497,52559.37479,
1399.69399,52107.44551,
1406.178468,52935.63219,
1412.660943,52962.95814,
1419.141425,53610.37311,
1425.619926,54608.82151,
1432.096456,55650.36084,
1438.571026,54936.73298,
1445.043647,55754.40967,
1451.51433,55617.77989,
1457.983087,56618.33029,
1464.449927,56433.35458,
1470.914863,56040.28121,
1477.377904,56289.36781,
1483.839063,56853.75391,
1490.298349,56728.68511,
1496.755774,56820.12196,
1503.211349,57929.97618,
1509.665085,59073.46235,
1516.116992,60471.29011,
1522.567082,61771.37503,
1529.015366,62120.30647,
1535.461854,62225.4063,
1541.906558,61631.59225,
1548.349488,61040.9312,
1554.790655,60923.21939,
1561.230071,60052.99278,
1567.667747,59604.2165,
1574.103692,58669.879,
1580.537919,59046.1364,
1586.970439,59477.04571,
1593.401261,59359.33389,
1599.830397,59362.48689,
1606.257859,59366.69088,
1612.683656,59861.71109,
1619.107801,59079.76834,
1625.530303,60142.32764,
1631.951175,59628.38946,
1638.370426,59818.62016,
1644.788068,60768.72264,
1651.204112,60036.17681,
1657.618568,59838.58913,
1664.031449,60749.80467,
1670.442764,59619.98148,
1676.852524,60695.15275,
1683.260741,60050.89079,
1689.667426,60583.74693,
1696.072589,60905.35242,
1702.476241,60336.76233,
1708.878394,61051.44118,
1715.279058,60682.54077,
1721.678244,60593.20592,
1728.075964,61483.40149,
1734.472228,60764.51864,
1740.867046,60968.41232,
1747.260432,60316.79336,
1753.652394,60970.51431,
1760.042944,59836.48713,
1766.432093,60473.39211,
1772.819852,60623.68487,
1779.206232,59720.87732,
1785.591243,61056.69618,
1791.974898,60317.84436,
1798.357206,61187.01997,
1804.738179,60357.78229,
1811.117828,60090.82872,
1817.496163,60136.02165,
1823.873196,59897.44503,
1830.248937,60046.68679,
1836.623398,58807.55978,
1842.99659,59871.17007,
1849.368522,57638.84965,
1855.739207,58880.07866,
1862.108656,58752.90787,
1868.476878,58678.28699,
1874.843886,58594.20712,
1881.20969,58557.42218,
1887.574301,57732.3885,
1893.93773,57285.71422,
1900.299988,57349.82511,
1906.661087,56050.7912,
1913.021036,56088.62713,
1919.379847,55699.75776,
1925.737531,56004.54727,
1932.094099,55135.37166,
1938.449561,54549.9656,
1944.803929,54456.42675,
1951.157214,53524.19124,
1957.509427,53682.89199,
1963.860578,53428.5504,
1970.210679,52744.35049,
1976.55974,52473.19293,
1982.907773,51698.60717,
1989.254788,51633.44527,
1995.600796,51655.51624,
2001.945809,50731.68872,
2008.289837,50156.79264,
2014.632892,49414.78783,
2020.974983,49017.51046,
2027.316123,48390.06447,
2033.656322,49170.95622,
2039.995591,46971.21674,
2046.33394,46945.99278,
2052.671382,44927.02502,
2059.007927,45814.0676,
2065.343586,46030.57325,
2071.678369,45772.02766,
2078.012289,45424.14722,
2084.345355,45051.04282,
2090.677578,44216.55016,
2097.008971,42900.70026,
2103.339543,42499.21891,
2109.669306,41143.43108,
2115.99827,40012.55689,
2122.326446,39817.07121,
2128.653846,39806.56122,
2134.980481,39576.39259,
2141.306361,39667.82944,
2147.631497,39634.1975,
2153.9559,38556.92422,
2160.279582,37632.04571,
2166.602553,37302.03223,
2172.924824,35760.21771,
2179.246406,35658.27087,
2185.56731,34328.758,
2191.887547,33765.4229,
2198.207128,32647.16069,
2204.526064,32126.91653,
2210.844366,31431.15564,
2217.162044,30547.26606,
2223.479111,30669.18186,
2229.795576,29533.05268,
2236.111451,28960.2586,
2242.426746,28610.27616,
2248.741473,27737.94756,
2255.055643,27312.29324,
2261.369266,27128.36854,
2267.682354,26204.54102,
2273.994917,26265.49892,
2280.306966,25703.21482,
2286.618513,24831.93721,
2292.929568,24904.4561,
2299.240142,23591.7592,
2305.550246,23573.89223,
2311.859892,22670.03368,
2318.16909,21617.98436,
2324.477851,21127.16815,
2330.786185,20470.2942,
2337.094105,19278.46211,
2343.401621,18707.77003,
2349.708744,17914.2663,
2356.015484,16908.46091,
2362.321853,16587.90642,
2368.627862,16047.69329,
2374.933522,15442.31826,
2381.238843,14922.07409,
2387.543838,14252.58816,
2393.848515,14148.53933,
2400.152887,18620.53717,
2406.456965,12740.20159,
2412.760759,12441.71807,
2419.06428,11951.95285,
2425.36754,11051.24729,
2431.670549,10439.56627,
2437.973319,10891.49555,
2444.275859,9955.05605,
2450.578182,9380.159971,
2456.880298,9210.949242,
2463.182218,9401.179937,
2469.483953,8363.844599,
2475.785514,8610.829204,
2482.086913,8203.041857,
2488.388159,8121.063988,
2494.689263,7116.309598,
2500.990238,7715.378638,
2507.291093,7379.059177,
